donation_id,region,donation_year,donation_date,donor_full_name,donor_type,amount,political_party,party_leader,leader_change
62,Federal,2010,2010-02-17,oTvtCSsZAS,Individuals,219.8,New Democratic Party,Leader 1,FALSE
63,Federal,2010,2010-02-19,XVroarnpVv,Individuals,576.98,New Democratic Party,Leader 1,FALSE
64,Federal,2010,2010-02-20,tApfdjweIs,Individuals,113.6,New Democratic Party,Leader 1,FALSE
65,Federal,2010,2010-02-20,lSZQvjFvkB,Individuals,25.8,Conservative Party of Canada,Leader 1,FALSE
66,Federal,2010,2010-02-22,vHaFRhsMGu,Individuals,241.22,New Democratic Party,Leader 1,FALSE
67,Federal,2010,2010-02-22,MQuFaWpeOg,Individuals,54.19,New Democratic Party,Leader 1,FALSE
68,Federal,2010,2010-02-22,rNZlRasAjI,Individuals,238.99,Conservative Party of Canada,Leader 1,FALSE
69,Federal,2010,2010-02-23,XWmwebjXJC,Individuals,184.23,Liberal Party of Canada,Leader 1,FALSE
70,Federal,2010,2010-02-23,LjqqKpXNZj,Individuals,61.29,Conservative Party of Canada,Leader 1,FALSE
71,Federal,2010,2010-02-24,FJnDtEXWWv,Individuals,82.68,Conservative Party of Canada,Leader 1,FALSE
72,Federal,2010,2010-02-25,ZKBGjGvCMk,Individuals,193.4,New Democratic Party,Leader 1,FALSE
73,Federal,2010,2010-02-25,fbYoFldgQN,Individuals,276.01,Conservative Party of Canada,Leader 1,FALSE
74,Federal,2010,2010-02-26,hFIrqZMaTz,Individuals,238.18,Liberal Party of Canada,Leader 1,FALSE
75,Federal,2010,2010-02-27,eUGCVzyPoQ,Individuals,171.14,Liberal Party of Canada,Leader 1,FALSE
76,Federal,2010,2010-02-27,PMKbXGrlFV,Individuals,122.63,Conservative Party of Canada,Leader 1,FALSE
77,Federal,2010,2010-02-28,dvCnuMrVzM,Individuals,160.39,New Democratic Party,Leader 1,FALSE
78,Federal,2010,2010-02-28,jaUcTUMNIh,Individuals,34.32,Conservative Party of Canada,Leader 1,FALSE
79,Federal,2010,2010-03-01,PwlJxRWuxU,Individuals,93.56,New Democratic Party,Leader 1,FALSE
80,Federal,2010,2010-03-02,thGlCVPanO,Individuals,127.73,Liberal Party of Canada,Leader 1,FALSE
81,Federal,2010,2010-03-03,FvTRAiBElA,Individuals,3.91,Liberal Party of Canada,Leader 1,FALSE
82,Federal,2010,2010-03-07,VKzGSeYSqz,Individuals,60.49,Conservative Party of Canada,Leader 1,FALSE
83,Federal,2010,2010-03-07,SempnzPSTB,Individuals,159.71,New Democratic Party,Leader 1,FALSE
84,Federal,2010,2010-03-08,zCbmxvqtyl,Individuals,308.19,New Democratic Party,Leader 1,FALSE
85,Federal,2010,2010-03-08,asxuiaqPxC,Individuals,396.03,New Democratic Party,Leader 1,FALSE
86,Federal,2010,2010-03-09,UfUaGSJmPx,Individuals,192.76,Liberal Party of Canada,Leader 1,FALSE
87,Federal,2010,2010-03-10,glCzTKuunh,Individuals,155.5,Conservative Party of Canada,Leader 1,FALSE
88,Federal,2010,2010-03-10,csxVESFpYO,Individuals,143.52,Liberal Party of Canada,Leader 1,FALSE
89,Federal,2010,2010-03-11,JBflpTZtIn,Individuals,355.06,New Democratic Party,Leader 1,FALSE
90,Federal,2010,2010-03-11,xEHlnvTPuS,Individuals,77.02,Conservative Party of Canada,Leader 1,FALSE
91,Federal,2010,2010-03-13,BgJDoRcDMJ,Individuals,393.04,Conservative Party of Canada,Leader 1,FALSE
92,Federal,2010,2010-03-13,bMFiYuHXCF,Individuals,498.82,Liberal Party of Canada,Leader 1,FALSE
93,Federal,2010,2010-03-14,dIZnFShNKk,Individuals,324.42,Conservative Party of Canada,Leader 1,FALSE
94,Federal,2010,2010-03-14,URXRMLKdob,Individuals,215.38,New Democratic Party,Leader 1,FALSE
95,Federal,2010,2010-03-14,gTeONUYuwY,Individuals,121.21,New Democratic Party,Leader 1,FALSE
96,Federal,2010,2010-03-14,PrBnsGzpPD,Individuals,605.79,Conservative Party of Canada,Leader 1,FALSE
97,Federal,2010,2010-03-16,LdXLimOiTR,Individuals,27.95,New Democratic Party,Leader 1,FALSE
98,Federal,2010,2010-03-16,ORzpXKJOFr,Individuals,189.99,Conservative Party of Canada,Leader 1,FALSE
99,Federal,2010,2010-03-17,HmtOWbafsN,Individuals,391.34,Liberal Party of Canada,Leader 1,FALSE
100,Federal,2010,2010-03-18,mBwGmXFKpK,Individuals,627.23,New Democratic Party,Leader 1,FALSE
101,Federal,2010,2010-03-18,VvAIEWYKfA,Individuals,30.48,Conservative Party of Canada,Leader 1,FALSE
102,Federal,2010,2010-03-20,WJrPPaOqpg,Individuals,283.12,Liberal Party of Canada,Leader 1,FALSE
103,Federal,2010,2010-03-21,VORXCzyFYb,Individuals,101.35,Liberal Party of Canada,Leader 1,FALSE
104,Federal,2010,2010-03-21,ZRPmRzsPsL,Individuals,443.82,New Democratic Party,Leader 1,FALSE
105,Federal,2010,2010-03-21,DBEnAATjDe,Individuals,111.67,Liberal Party of Canada,Leader 1,FALSE
106,Federal,2010,2010-03-22,ImPsplXPkx,Individuals,92.59,New Democratic Party,Leader 1,FALSE
107,Federal,2010,2010-03-22,bwAVKeguRE,Individuals,8.53,Conservative Party of Canada,Leader 1,FALSE
108,Federal,2010,2010-03-22,aicSrgpaOa,Individuals,490.99,Liberal Party of Canada,Leader 1,FALSE
109,Federal,2010,2010-03-22,ackxdervol,Individuals,41.75,Liberal Party of Canada,Leader 1,FALSE
110,Federal,2010,2010-03-23,boCaSeiMXQ,Individuals,110.93,Liberal Party of Canada,Leader 1,FALSE
111,Federal,2010,2010-03-25,oHbzgilXtl,Individuals,590.87,New Democratic Party,Leader 1,FALSE
112,Federal,2010,2010-03-25,qzDvfEmjKB,Individuals,34.77,Liberal Party of Canada,Leader 1,FALSE
113,Federal,2010,2010-03-25,LVfTcUFtBg,Individuals,145.13,Liberal Party of Canada,Leader 1,FALSE
114,Federal,2010,2010-03-26,atndaNjHVj,Individuals,46.1,Liberal Party of Canada,Leader 1,FALSE
115,Federal,2010,2010-03-26,jlVJAbXuQL,Individuals,139.21,Liberal Party of Canada,Leader 1,FALSE
116,Federal,2010,2010-03-27,IwbXKzaMTg,Individuals,1.82,New Democratic Party,Leader 1,FALSE
117,Federal,2010,2010-03-27,wGZiwJpVle,Individuals,94,Conservative Party of Canada,Leader 1,FALSE
118,Federal,2010,2010-03-29,udZqvEibOp,Individuals,83.73,Conservative Party of Canada,Leader 1,FALSE
119,Federal,2010,2010-03-31,mOEkZLXXAr,Individuals,383.65,Conservative Party of Canada,Leader 1,FALSE
120,Federal,2010,2010-04-02,DBIVblCOpy,Individuals,141.23,New Democratic Party,Leader 1,FALSE
121,Federal,2010,2010-04-02,XKEqfTZHGf,Individuals,27.34,Liberal Party of Canada,Leader 1,FALSE
122,Federal,2010,2010-04-03,eyMJARHBjj,Individuals,29.75,New Democratic Party,Leader 1,FALSE
123,Federal,2010,2010-04-04,khBFHfLWww,Individuals,190.67,New Democratic Party,Leader 1,FALSE
124,Federal,2010,2010-04-04,OpsFNZkZWy,Individuals,134.63,Liberal Party of Canada,Leader 1,FALSE
125,Federal,2010,2010-04-04,ioUSWbAEOd,Individuals,198.34,Conservative Party of Canada,Leader 1,FALSE
126,Federal,2010,2010-04-05,bzKbBGnJDQ,Individuals,14.53,Conservative Party of Canada,Leader 1,FALSE
127,Federal,2010,2010-04-06,DVvoErHKoB,Individuals,76.74,Liberal Party of Canada,Leader 1,FALSE
128,Federal,2010,2010-04-07,LOyYjHfObJ,Individuals,65.29,New Democratic Party,Leader 1,FALSE
129,Federal,2010,2010-04-08,dvMPJMkfIX,Individuals,12.95,Liberal Party of Canada,Leader 1,FALSE
130,Federal,2010,2010-04-08,ckYNzylFzO,Individuals,458.48,Liberal Party of Canada,Leader 1,FALSE
131,Federal,2010,2010-04-08,lloRrjGFts,Individuals,6.72,Conservative Party of Canada,Leader 1,FALSE
132,Federal,2010,2010-04-08,dadWSkbUUF,Individuals,16.3,New Democratic Party,Leader 1,FALSE
133,Federal,2010,2010-04-09,pCJGHrzpvX,Individuals,741.27,Conservative Party of Canada,Leader 1,FALSE
134,Federal,2010,2010-04-09,bmswOlriLh,Individuals,741.95,Conservative Party of Canada,Leader 1,FALSE
135,Federal,2010,2010-04-09,iItEAGwKUB,Individuals,70.74,Liberal Party of Canada,Leader 1,FALSE
136,Federal,2010,2010-04-09,lXcyPqOStd,Individuals,62.46,Conservative Party of Canada,Leader 1,FALSE
137,Federal,2010,2010-04-11,EudufNJqjA,Individuals,743.35,Conservative Party of Canada,Leader 1,FALSE
138,Federal,2010,2010-04-11,YlOKTpFpBP,Individuals,19.08,New Democratic Party,Leader 1,FALSE
139,Federal,2010,2010-04-12,UIWbYMbfrh,Individuals,390.72,Conservative Party of Canada,Leader 1,FALSE
140,Federal,2010,2010-04-12,QRdxoJLFUY,Individuals,2.99,Conservative Party of Canada,Leader 1,FALSE
141,Federal,2010,2010-04-13,HqEVTnaUcf,Individuals,18.51,Liberal Party of Canada,Leader 1,FALSE
142,Federal,2010,2010-04-14,lnJLprXkRc,Individuals,209.88,Conservative Party of Canada,Leader 1,FALSE
143,Federal,2010,2010-04-15,yYWGwTZtvQ,Individuals,175.59,Liberal Party of Canada,Leader 1,FALSE
144,Federal,2010,2010-04-17,IXBYyNYJlE,Individuals,297.04,Conservative Party of Canada,Leader 1,FALSE
145,Federal,2010,2010-04-17,uZBTQhffcu,Individuals,17.4,Liberal Party of Canada,Leader 1,FALSE
146,Federal,2010,2010-04-17,GoqlKXXNup,Individuals,46.24,Liberal Party of Canada,Leader 1,FALSE
147,Federal,2010,2010-04-17,nXQBpdnXnZ,Individuals,687.77,New Democratic Party,Leader 1,FALSE
148,Federal,2010,2010-04-19,iUxTlsaIqK,Individuals,272.68,Conservative Party of Canada,Leader 1,FALSE
149,Federal,2010,2010-04-19,rTPnKbUEga,Individuals,142.67,Conservative Party of Canada,Leader 1,FALSE
150,Federal,2010,2010-04-20,WYMvaYPuws,Individuals,256.77,Conservative Party of Canada,Leader 1,FALSE
151,Federal,2010,2010-04-21,kfLzhStGGj,Individuals,40.94,Liberal Party of Canada,Leader 1,FALSE
152,Federal,2010,2010-04-21,kanNVqzIsR,Individuals,447.85,Conservative Party of Canada,Leader 1,FALSE
153,Federal,2010,2010-04-21,WTEqNWmjvC,Individuals,133.17,Conservative Party of Canada,Leader 1,FALSE
154,Federal,2010,2010-04-22,ZkrtOrfKem,Individuals,63.42,Conservative Party of Canada,Leader 1,FALSE
155,Federal,2010,2010-04-22,FCdwaIlJBT,Individuals,61.78,Liberal Party of Canada,Leader 1,FALSE
156,Federal,2010,2010-04-22,eeQszkQGIN,Individuals,287.55,Conservative Party of Canada,Leader 1,FALSE
157,Federal,2010,2010-04-22,kaIOVDFoxA,Individuals,191.86,New Democratic Party,Leader 1,FALSE
158,Federal,2010,2010-04-23,DzjPFztXdo,Individuals,222.61,Conservative Party of Canada,Leader 1,FALSE
159,Federal,2010,2010-04-23,OIwvOJRDiS,Individuals,213.04,Liberal Party of Canada,Leader 1,FALSE
160,Federal,2010,2010-04-24,XTEhAnEMLO,Individuals,392.14,Liberal Party of Canada,Leader 1,FALSE
161,Federal,2010,2010-04-25,zJKbOVhFOj,Individuals,219.22,New Democratic Party,Leader 1,FALSE
162,Federal,2010,2010-04-25,ltFJBXsyRv,Individuals,38.31,New Democratic Party,Leader 1,FALSE
163,Federal,2010,2010-04-26,XAHSICccyM,Individuals,244.83,New Democratic Party,Leader 1,FALSE
164,Federal,2010,2010-04-26,EEstBrakuT,Individuals,38.33,Liberal Party of Canada,Leader 1,FALSE
165,Federal,2010,2010-04-27,nuvZIHVTdW,Individuals,79.03,Conservative Party of Canada,Leader 1,FALSE
166,Federal,2010,2010-04-28,LVyqnneKuh,Individuals,55.79,Conservative Party of Canada,Leader 1,FALSE
167,Federal,2010,2010-04-30,lpmBlYXLIW,Individuals,101.45,Conservative Party of Canada,Leader 1,FALSE
168,Federal,2010,2010-05-02,zqpsujRXhE,Individuals,254.54,Liberal Party of Canada,Leader 1,FALSE
169,Federal,2010,2010-05-02,ERyrkhohbV,Individuals,211.1,Liberal Party of Canada,Leader 1,FALSE
170,Federal,2010,2010-05-02,bWalHlEnHm,Individuals,206.23,Conservative Party of Canada,Leader 1,FALSE
171,Federal,2010,2010-05-02,LOkHvZzNsB,Individuals,9.48,Liberal Party of Canada,Leader 1,FALSE
172,Federal,2010,2010-05-03,bltsQfvhkg,Individuals,125.23,Conservative Party of Canada,Leader 1,FALSE
173,Federal,2010,2010-05-03,jNGQrMcxaE,Individuals,23.23,New Democratic Party,Leader 1,FALSE
174,Federal,2010,2010-05-03,LDkKMKbbSX,Individuals,100.05,Conservative Party of Canada,Leader 1,FALSE
175,Federal,2010,2010-05-05,BSVyfTUUmH,Individuals,135.6,Liberal Party of Canada,Leader 1,FALSE
176,Federal,2010,2010-05-06,amllVFeJZP,Individuals,79.45,Conservative Party of Canada,Leader 1,FALSE
177,Federal,2010,2010-05-08,yyeYegoftt,Individuals,315.31,New Democratic Party,Leader 1,FALSE
178,Federal,2010,2010-05-09,DRQNnrbhdu,Individuals,197.03,New Democratic Party,Leader 1,FALSE
179,Federal,2010,2010-05-09,LwRsskMOuk,Individuals,42.68,Liberal Party of Canada,Leader 1,FALSE
180,Federal,2010,2010-05-10,SLkVsiNKFP,Individuals,45.69,Liberal Party of Canada,Leader 1,FALSE
181,Federal,2010,2010-05-11,ujsWwhqfGY,Individuals,107.8,Liberal Party of Canada,Leader 1,FALSE
182,Federal,2010,2010-05-12,kUXKZwixuX,Individuals,90.12,New Democratic Party,Leader 1,FALSE
183,Federal,2010,2010-05-12,RYUENcyVVj,Individuals,97.77,Liberal Party of Canada,Leader 1,FALSE
184,Federal,2010,2010-05-14,PGdCfdXEPR,Individuals,339.6,Liberal Party of Canada,Leader 1,FALSE
185,Federal,2010,2010-05-14,EJMcFFxXbZ,Individuals,81.38,Liberal Party of Canada,Leader 1,FALSE
186,Federal,2010,2010-05-15,CzoWTfidjJ,Individuals,202.17,New Democratic Party,Leader 1,FALSE
187,Federal,2010,2010-05-15,yEleamcTcd,Individuals,529.73,Conservative Party of Canada,Leader 1,FALSE
188,Federal,2010,2010-05-15,xeALxGdBiB,Individuals,3.45,Conservative Party of Canada,Leader 1,FALSE
189,Federal,2010,2010-05-15,HvaZDKYMrA,Individuals,124.42,Conservative Party of Canada,Leader 1,FALSE
190,Federal,2010,2010-05-16,yAbLTXSBHg,Individuals,4.58,Liberal Party of Canada,Leader 1,FALSE
191,Federal,2010,2010-05-16,zJHBCfxEQV,Individuals,46.66,Conservative Party of Canada,Leader 1,FALSE
192,Federal,2010,2010-05-18,qNlVvlDhmy,Individuals,25,New Democratic Party,Leader 1,FALSE
193,Federal,2010,2010-05-18,pNMrDbwEBR,Individuals,128.39,Liberal Party of Canada,Leader 1,FALSE
194,Federal,2010,2010-05-18,rglHkJaWzY,Individuals,207.78,Conservative Party of Canada,Leader 1,FALSE
195,Federal,2010,2010-05-19,BFASQmWrhf,Individuals,100.96,Liberal Party of Canada,Leader 1,FALSE
196,Federal,2010,2010-05-19,NrPZOfXUdt,Individuals,37.43,Liberal Party of Canada,Leader 1,FALSE
197,Federal,2010,2010-05-20,ttExNTyvbU,Individuals,376.63,Conservative Party of Canada,Leader 1,FALSE
198,Federal,2010,2010-05-21,eJiolXnnlx,Individuals,28.82,Conservative Party of Canada,Leader 1,FALSE
199,Federal,2010,2010-05-21,WtEVXnFXQt,Individuals,788.15,New Democratic Party,Leader 1,FALSE
200,Federal,2010,2010-05-21,fcDqawlRCi,Individuals,93.92,Liberal Party of Canada,Leader 1,FALSE
201,Federal,2010,2010-05-21,TkEElJvSbI,Individuals,162.35,Liberal Party of Canada,Leader 1,FALSE
202,Federal,2010,2010-05-22,eDakTkfefI,Individuals,62.54,Conservative Party of Canada,Leader 1,FALSE
203,Federal,2010,2010-05-23,WhFqgBEwzR,Individuals,328.47,Liberal Party of Canada,Leader 1,FALSE
204,Federal,2010,2010-05-23,YGxYUpCsRN,Individuals,291.14,Liberal Party of Canada,Leader 1,FALSE
205,Federal,2010,2010-05-24,ZbSlkceEHP,Individuals,402.59,New Democratic Party,Leader 1,FALSE
206,Federal,2010,2010-05-26,WzmrhhpRgy,Individuals,79.49,Liberal Party of Canada,Leader 1,FALSE
207,Federal,2010,2010-05-27,RDQwMSNJFA,Individuals,129.12,New Democratic Party,Leader 1,FALSE
208,Federal,2010,2010-05-28,IfgfqkSRbA,Individuals,127.87,Liberal Party of Canada,Leader 1,FALSE
209,Federal,2010,2010-05-28,KSRCBtFKMD,Individuals,509.63,New Democratic Party,Leader 1,FALSE
210,Federal,2010,2010-05-28,aLJjFwsmqM,Individuals,123.06,New Democratic Party,Leader 1,FALSE
211,Federal,2010,2010-05-28,nLaUeOMvot,Individuals,136.87,Conservative Party of Canada,Leader 1,FALSE
212,Federal,2010,2010-05-29,KGEGBsIpjV,Individuals,12.35,Conservative Party of Canada,Leader 1,FALSE
213,Federal,2010,2010-05-29,voQQAzNClJ,Individuals,76.62,Conservative Party of Canada,Leader 1,FALSE
214,Federal,2010,2010-05-31,gnOHOvxcCl,Individuals,351.65,New Democratic Party,Leader 1,FALSE
215,Federal,2010,2010-05-31,waRDyqTPlI,Individuals,338.7,Conservative Party of Canada,Leader 1,FALSE
216,Federal,2010,2010-05-31,HlvTXKqPYp,Individuals,828.33,Conservative Party of Canada,Leader 1,FALSE
217,Federal,2010,2010-06-02,clEiwMRoXM,Individuals,18.11,Liberal Party of Canada,Leader 1,FALSE
218,Federal,2010,2010-06-02,CPgUxKGJvG,Individuals,9.63,Liberal Party of Canada,Leader 1,FALSE
219,Federal,2010,2010-06-03,LBhqMPuEVu,Individuals,179.64,New Democratic Party,Leader 1,FALSE
220,Federal,2010,2010-06-03,tKZQgcbtFX,Individuals,304.46,Liberal Party of Canada,Leader 1,FALSE
221,Federal,2010,2010-06-03,MAhaNQUaEp,Individuals,220.19,Liberal Party of Canada,Leader 1,FALSE
222,Federal,2010,2010-06-04,yaSEUorBGC,Individuals,100.97,Liberal Party of Canada,Leader 1,FALSE
223,Federal,2010,2010-06-04,zajkfmUkKO,Individuals,273.39,Liberal Party of Canada,Leader 1,FALSE
224,Federal,2010,2010-06-04,fXXhkJfKXZ,Individuals,43.73,New Democratic Party,Leader 1,FALSE
225,Federal,2010,2010-06-05,BRKvGegVdq,Individuals,188.16,New Democratic Party,Leader 1,FALSE
226,Federal,2010,2010-06-05,xjQGJWSSBe,Individuals,260.52,New Democratic Party,Leader 1,FALSE
227,Federal,2010,2010-06-05,uCJHjvjCrb,Individuals,63.86,Conservative Party of Canada,Leader 1,FALSE
228,Federal,2010,2010-06-08,ZsKIDsWSEX,Individuals,146.12,Liberal Party of Canada,Leader 1,FALSE
229,Federal,2010,2010-06-10,FlAMDzbaXe,Individuals,47.77,New Democratic Party,Leader 1,FALSE
230,Federal,2010,2010-06-11,KLkhuKxecc,Individuals,58.07,Conservative Party of Canada,Leader 1,FALSE
231,Federal,2010,2010-06-11,tnhJIqIZIz,Individuals,87.57,Liberal Party of Canada,Leader 1,FALSE
232,Federal,2010,2010-06-11,CwUrVcAUPz,Individuals,57.19,Conservative Party of Canada,Leader 1,FALSE
233,Federal,2010,2010-06-12,ylbVMQoKyk,Individuals,42.31,New Democratic Party,Leader 1,FALSE
234,Federal,2010,2010-06-12,LALHDrBGrM,Individuals,169.19,New Democratic Party,Leader 1,FALSE
235,Federal,2010,2010-06-13,WlCQOLunhn,Individuals,411.54,Liberal Party of Canada,Leader 1,FALSE
236,Federal,2010,2010-06-13,zGSaatyaRm,Individuals,0.31,Conservative Party of Canada,Leader 1,FALSE
237,Federal,2010,2010-06-14,fpbgwJUTld,Individuals,114.58,Liberal Party of Canada,Leader 1,FALSE
238,Federal,2010,2010-06-15,vJAEgRWBoo,Individuals,0.26,Conservative Party of Canada,Leader 1,FALSE
239,Federal,2010,2010-06-15,YpnaUIqjQa,Individuals,17.23,Liberal Party of Canada,Leader 1,FALSE
240,Federal,2010,2010-06-15,xmLlcFWLmr,Individuals,281.93,Conservative Party of Canada,Leader 1,FALSE
241,Federal,2010,2010-06-16,oQZbaxxuzH,Individuals,374.78,Conservative Party of Canada,Leader 1,FALSE
242,Federal,2010,2010-06-16,UCpMyNNEat,Individuals,208.69,Liberal Party of Canada,Leader 1,FALSE
243,Federal,2010,2010-06-16,dyuSQmvpOD,Individuals,49.27,Liberal Party of Canada,Leader 1,FALSE
244,Federal,2010,2010-06-18,lohbjwYNwa,Individuals,94.76,Conservative Party of Canada,Leader 1,FALSE
245,Federal,2010,2010-06-19,qBtbOXTpGz,Individuals,241.43,Conservative Party of Canada,Leader 1,FALSE
